schema_name,table_name,constraint_name,constraint_type,definition
public,pipeline_stage_user_access,stage_user_access_member_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, user_id) REFERENCES organization_members(organization_id, user_id) ON DELETE CASCADE"
public,pipeline_stage_user_access,stage_user_access_pipeline_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, pipeline_id) REFERENCES pipelines(organization_id, id) ON DELETE CASCADE"
public,pipeline_stage_user_access,stage_user_access_stage_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, stage_id) REFERENCES pipeline_stages(organization_id, id) ON DELETE CASCADE"
public,pipeline_stage_user_access,pipeline_stage_user_access_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,pipeline_stage_user_access,stage_user_access_unique,UNIQUE,"UNIQUE (stage_id, user_id)"
public,pipeline_stages,pipeline_stages_category_check,CHECK,"CHECK (category = ANY (ARRAY['open'::text, 'won'::text, 'lost'::text]))"
public,pipeline_stages,pipeline_stages_code_check,CHECK,CHECK (code ~ '^[a-z0-9_]+$'::text)
public,pipeline_stages,pipeline_stages_color_check,CHECK,CHECK (color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,pipeline_stages,pipeline_stages_name_check,CHECK,CHECK (char_length(TRIM(BOTH FROM name)) >= 2 AND char_length(TRIM(BOTH FROM name)) <= 80)
public,pipeline_stages,pipeline_stages_position_check,CHECK,"CHECK (""position"" >= 1)"
public,pipeline_stages,pipeline_stages_probability_check,CHECK,CHECK (probability >= 0 AND probability <= 100)
public,pipeline_stages,pipeline_stages_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,pipeline_stages,pipeline_stages_pipeline_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, pipeline_id) REFERENCES pipelines(organization_id, id) ON DELETE CASCADE"
public,pipeline_stages,pipeline_stages_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,pipeline_stages,pipeline_stages_org_pipeline_id_unique,UNIQUE,"UNIQUE (organization_id, pipeline_id, id)"
public,pipeline_stages,pipeline_stages_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,pipeline_stages,pipeline_stages_pipeline_code_unique,UNIQUE,"UNIQUE (pipeline_id, code)"
public,pipeline_stages,pipeline_stages_pipeline_position_unique,UNIQUE,"UNIQUE (pipeline_id, ""position"")"
public,pipeline_user_access,pipeline_user_access_access_level_check,CHECK,"CHECK (access_level = ANY (ARRAY['view'::text, 'operate'::text, 'manage'::text]))"
public,pipeline_user_access,pipeline_user_access_stage_scope_check,CHECK,"CHECK (stage_scope = ANY (ARRAY['all'::text, 'custom'::text]))"
public,pipeline_user_access,pipeline_user_access_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,pipeline_user_access,pipeline_user_access_member_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, user_id) REFERENCES organization_members(organization_id, user_id) ON DELETE CASCADE"
public,pipeline_user_access,pipeline_user_access_pipeline_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, pipeline_id) REFERENCES pipelines(organization_id, id) ON DELETE CASCADE"
public,pipeline_user_access,pipeline_user_access_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,pipeline_user_access,pipeline_user_access_unique,UNIQUE,"UNIQUE (pipeline_id, user_id)"
public,pipelines,pipelines_name_check,CHECK,CHECK (char_length(TRIM(BOTH FROM name)) >= 2 AND char_length(TRIM(BOTH FROM name)) <= 100)
public,pipelines,pipelines_slug_check,CHECK,CHECK (slug ~ '^[a-z0-9]+(?:-[a-z0-9]+)*$'::text)
public,pipelines,pipelines_status_check,CHECK,"CHECK (status = ANY (ARRAY['active'::text, 'inactive'::text, 'archived'::text]))"
public,pipelines,pipelines_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,pipelines,pipelines_organization_id_fkey,FOREIGN KEY,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
public,pipelines,pipelines_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,pipelines,pipelines_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,pipelines,pipelines_organization_slug_unique,UNIQUE,"UNIQUE (organization_id, slug)"
public,profiles,profiles_id_fkey,FOREIGN KEY,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
public,profiles,profiles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,role_permissions,role_permissions_permission_id_fkey,FOREIGN KEY,FOREIGN KEY (permission_id) REFERENCES permissions(id) ON DELETE CASCADE
public,role_permissions,role_permissions_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES roles(id) ON DELETE CASCADE
public,role_permissions,role_permissions_pkey,PRIMARY KEY,"PRIMARY KEY (role_id, permission_id)"
public,roles,roles_code_check,CHECK,CHECK (code ~ '^[a-z0-9_]+$'::text)
public,roles,roles_organization_id_fkey,FOREIGN KEY,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
public,roles,roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,roles,roles_organization_code_unique,UNIQUE,"UNIQUE (organization_id, code)"
public,roles,roles_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,tags,tags_code_check,CHECK,CHECK (code ~ '^[a-z0-9_]+$'::text)
public,tags,tags_color_check,CHECK,CHECK (color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,tags,tags_name_check,CHECK,CHECK (char_length(TRIM(BOTH FROM name)) >= 2 AND char_length(TRIM(BOTH FROM name)) <= 60)
public,tags,tags_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,tags,tags_organization_id_fkey,FOREIGN KEY,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
public,tags,tags_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,tags,tags_organization_code_unique,UNIQUE,"UNIQUE (organization_id, code)"
public,tags,tags_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,task_activity_history,task_activity_history_action_check,CHECK,"CHECK (action = ANY (ARRAY['created'::text, 'updated'::text, 'assigned'::text, 'rescheduled'::text, 'completed'::text, 'reopened'::text, 'cancelled'::text]))"
public,task_activity_history,task_activity_history_changed_by_fkey,FOREIGN KEY,FOREIGN KEY (changed_by) REFERENCES profiles(id) ON DELETE SET NULL
public,task_activity_history,task_activity_history_new_assigned_to_fkey,FOREIGN KEY,FOREIGN KEY (new_assigned_to) REFERENCES profiles(id) ON DELETE SET NULL
public,task_activity_history,task_activity_history_previous_assigned_to_fkey,FOREIGN KEY,FOREIGN KEY (previous_assigned_to) REFERENCES profiles(id) ON DELETE SET NULL
public,task_activity_history,task_activity_history_task_fk,FOREIGN KEY,"FOREIGN KEY (organization_id, task_id) REFERENCES tasks(organization_id, id) ON DELETE CASCADE"
